SKU,categoria,color,id_campaign,id_product,condicion,nombre,coleccion,foto,edicion,talla_etiqueta,talla_estimada,marca,composicion,precio,descripcion,problema,ancho de hombros (AHO),contorno de busto (CBU),contorno de cintura (CCI),largo de mangas (LMA),largo total (LTT),contorno de cadera (CCA),largo de tiro (LTI),largo de planta (LPL),alto de taco (ATA),alto (ALT),largo (LRG),ancho (ANC),contorno interno (CIN),diámetro interno (DIN),peso_envio,medidas_envio
FLD-BGE-2021003-001,FLD,BGE,2021003,001,usado,Falda Luciana,,TRUE,TRUE,42,XS,Luciana Zuffi,100 lana // 60 acetato / 40 viscosa,$14.000,Clásica falda de lana de patrón espiga en tonos café y blanco. Cuenta con pinzas a la cintura e incluye forro.,,,,66,,53,92,,,,,,,,,255,
FLD-CFE-2021003-002,FLD,CFE,2021003,002,usado,Falda Harvé,,TRUE,TRUE,12,M,Harvé Benard,100 lana,$20.000,"Clásica falda de lana con estampado Príncipe de Gales en tonos burdeo y azul marino en un fondo mostaza. Incluye pasadores para cinturón, bolsillos y forro.",,,,78,,74,104,,,,,,,,,395,
FLD-MLT-2021003-003,FLD,MLT,2021003,003,usado,Falda Annika,,TRUE,TRUE,,XS,Mode Annika,95 lana / 5 nylon // 68 acetato / 32 viscosa,$24.000,"Increíble falda tableada vintage de lana, con delicado estampado floral y pasadores para un cinturón delgado. Liviana, ideal para la media estación.",,,,66,,70,94,,,,,,,,,255,
FLD-NGR-2021003-004,FLD,NGR,2021003,004,usado,Falda Heather,Back to Basic,TRUE,TRUE,6,XS,Land's End,100 lana // 100 acetato,$24.000,Elegante falda tableada de color negro hecha en Escocia. Incluye forro.,,,,66,,82,104,,,,,,,,,575,
PNT-AZL-2021003-005,PNT,AZL,2021003,005,usado,Mom jeans clásico,,TRUE,TRUE,,38,Vagabond,100 lana,$24.000,"Clásico mom jeans de algodón rígido, de corte recto y tiro medio.",,,,76,,98,96,29,,,,,,,,665,
PNT-CFE-2021003-006,PNT,CFE,2021003,006,usado,Pantalón Fusco,,TRUE,TRUE,,XS,Antonio Fusco,,$16.000,"Cómodo pantalón vintage de color café y suave textura. De tiro alto, con cierre al costado, pinzas en la cintura y bolsillos delanteros.",,,,68,,92,92,30,,,,,,,,335,
PNT-NGR-2021003-007,PNT,NGR,2021003,007,usado,Pantalón negro pura lana,Back to Basic,TRUE,TRUE,42,XS,,100 lana,$18.000,Elegante pantalón negro de tiro alto y pinzas delanteras. Tiene cierre invisible por el costado y botón.,,,,68,,95,92,32,,,,,,,,190,
BLU-AZL-2021003-008,BLU,AZL,2021003,008,usado,Blusa básica azul,Back to Basic,TRUE,TRUE,M,M,Fashion Network,,$10.000,"Liviana y fresca blusa de color azul. De corte sencillo, sin mangas, fácil de combinar.",,,94,92,,62,,,,,,,,,,80,
BLU-AZL-2021003-009,BLU,AZL,2021003,009,usado,Blusa Mikal,,TRUE,TRUE,M,S,Mikal-Alan,100 poliéster,$16.000,"Elegante blusa vintage de color azul, con vuelos en cuello y puños.",,36,100,88,61,55,,,,,,,,,,100,
BLU-RJO-2021003-010,BLU,RJO,2021003,010,usado,Blusa Carmen,,TRUE,TRUE,38,L,La Grand Petit,100 poliéster,$14.000,"Estilosa blusa roja, de cuello bote y corte ancho.",,45,120,118,59,63,,,,,,,,,,120,
BLU-RSD-2021003-011,BLU,RSD,2021003,011,usado,Blusa Joanna,,TRUE,TRUE,16,L,Joanna,100 poliéster,$12.000,Hermosa blusa de intenso color rosado y pretina elasticada. Tiene preciosos botones de metal.,Tenues manchitas en la parte delantera,43,120,116,28,66,,,,,,,,,,120,
BLU-MLT-2021003-012,BLU,MLT,2021003,012,usado,Blusa del jardín,,TRUE,TRUE,M,L,Mazzonetto,100 poliéster,$12.000,"Preciosa blusa de fondo oscuro con estampado floral en disposición de parches. De corte cuadrado, pronunciado cuello en V y delicados botones nacarados.",,42,114,112,32,75,,,,,,,,,,105,
BLU-NGR-2021003-013,BLU,NGR,2021003,013,usado,Blusa Katharina,Back to Basic,TRUE,TRUE,,S,,,$14.000,"Elegante blusa negra de manga larga, de corte tipo chaqueta con doble botón delantero nacarados.",Tiene un mínimo piquete en escote.,43,94,90,53,65,,,,,,,,,,130,
CHL-BGE-2021003-014,CHL,BGE,2021003,014,usado,Polerón Andrea,,TRUE,TRUE,44,M,Royal St. Andrews,100 algodón,$14.000,Precioso polerón mostaza con estampado de rozas. Tiene un elegante corte tipo blazer con botones delanteros.,,45,100,88,60,58,,,,,,,,,,280,
CHL-NVY-2021003-015,CHL,NVY,2021003,015,usado,Cardigan navy,,TRUE,TRUE,48,L,,100 lana,$16.000,Precioso cardigan de lana en tono azul marino con bordes rojos. Tiene dos bolsillos delanteros y hermosos botones dorados. Amamos su bordado de escudo con tierno zorrito.,,54,102,98,50,68,,,,,,,,,,420,
CHL-GRS-2021003-016,CHL,GRS,2021003,016,usado,Chaleco gris trenzado,,TRUE,TRUE,XL,XL,New Island,,$18.000,"Lindo chaleco trenzado, de color gris perla. De corte ancho, con los hombros un poco caídos.",,59,122,112,56,70,,,,,,,,,,510,
CHL-RJO-2021003-017,CHL,RJO,2021003,017,usado,Cardigan Lisa,,TRUE,TRUE,L,L,Lise J.,55 fibra de ramio / 45 algodón,$16.000,Hermoso cardigan rojo con botones negros. Tiene además un delicado bordado de flores de color negro y mostacillas.,Presenta leve pilling.,52,108,96,58,60,,,,,,,,,,565,
BLZ-VRD-2021003-018,BLZ,VRD,2021003,018,usado,Blazer Helena,,TRUE,TRUE,48,M,Hella,,$28.000,"Hermoso blazer de inteso color verde y grandes botones redondos. Su material es liviano, ideal para la temporada primavera-verano. Esta pieza viajó en el tiempo para ti y trae su etiqueta de orígen.",,41,98,86,61,54,,,,,,,,,,625,
BLZ-GRS-2021003-019,BLZ,GRS,2021003,019,usado,Blazer gris plata,,TRUE,TRUE,,M,Zoe,100 viscosa,$18.000,"Entretenido blazer gris plata con botones negros, de confección italiana. De tela liviana, es ideal para la temporada primavera-verano.",,48,106,88,58,53,,,,,,,,,,290,
BLZ-NGR-2021003-020,BLZ,NGR,2021003,020,usado,Blazer Vera,,TRUE,TRUE,XS,XS,Simply Vera,60 lana / 30 poliéster / 10 otras fibras // 63 poliéster / 31 rayón / 6 spandex,$18.000,Moderno blazer de corte elegante. Su parte superior es de lanilla y la inferior de poliéster. La pieza perfecta para una Boss Girl.,,37,88,82,57,64,,,,,,,,,,380,
VST-MLT-2021003-021,VST,MLT,2021003,021,usado,Vestido Rosita,,TRUE,TRUE,44,L,Bremer,96 poliéster / 4 poliamida,$24.000,"Alegre vestido ochentero con estampado floral y fondo de puntitos. Simula ser un traje de dos piezas, pero es constituye un apieza única. Viene con cinturón de la misma tela.",,40,104,98,33,109,128,,,,,,,,,410,
VST-AZL-2021003-022,VST,AZL,2021003,022,usado,Vestido de jeans,,TRUE,TRUE,44,L,Hammerschmid,100 algodón,$24.000,"Entretenido vestido de jeans en corte princesa con falda tableada y bolsillos. Tiene un hermoso estampado floral en escote, mangas y falda.",,43,104,88,29,121,152,,,,,,,,,665,
VST-AZL-2021003-023,VST,AZL,2021003,023,usado,Vestido Marina,,TRUE,TRUE,,XL,,poliéster,$22.000,"Encantador vestido de fiesta, en tono azul con estampado de líneas horizontales semitransparentes, azules y plateadas. Tiene mangas globo y cierre invisible en la espalda.",,44,110,98,35,127,164,,,,,,,,,360,
VST-MLT-2021003-024,VST,MLT,2021003,024,usado,Vestido Granada,,TRUE,TRUE,48,L,Fámira,100 poliéster,$22.000,"Hermoso vestido con estampado de flores moradas y hojas en tonos café y verde. Su corte simula un vestido emvolvente, con cierre lateral y cintura elasticada.",,43,108,88,35,122,116,,,,,,,,,275,
VST-MLT-2021003-025,VST,MLT,2021003,025,usado,Vestido Donatella,,TRUE,TRUE,42,M,,100 poliéster,$30.000,"Fantástico vestido de fiesta, extralargo, de pavilos. Tiene un hermoso color azul metálico con destellos plateados, que te harán ser la reina de la fiesta. Viene con un delicado tapado de la misma tela.",,,90,74,,141,116,,,,,,,,,385,
BLU-CLT-2021003-026,BLU,CLT,2021003,026,usado,Blusa cuadrillé,,TRUE,TRUE,44,S,Lillipot,,$20.000,"Clásica blusa vintage de fines de los años sesenta con hermoso patrón cuadrillé en tonos celeste y azul. Amamos su cuello en punta y puños rígidos. Si bien no tiene descripción de material, se siente como de seda.",,38,92,84,59,61,,,,,,,,,,80,
BLU-MLT-2021003-027,BLU,MLT,2021003,027,usado,Blusa Daisy,,TRUE,TRUE,43,M,,100 seda,$22.000,Increíble blusa de seda con estampado floral sobre fondo verde musgo. Sus botones vintage son de alto impacto.,Leve zona decolorada en la parte alta de la espalda.,40,110,100,56,69,,,,,,,,,,110,
BLZ-VRD-2021003-028,BLZ,VRD,2021003,028,usado,Blazer Nina,,TRUE,TRUE,,S,Nina,,$22.000,"Suave blazer aterciopelado, de color verde oliva y acabado tornasol. De corte ajustado y hermososo botones grandes nacarados.",Presenta pequeños piquetes superficiales en puño izquierdo.,39,94,80,57,56,,,,,,,,,,405,
BLZ-AZL-2021003-029,BLZ,AZL,2021003,029,usado,Chaqueta de jeans clásica,Back to Basic,TRUE,TRUE,L,L,Rifle,100 algodón,$26.000,"Clásica chaqueta de jeans azul, de corte holgado. Presenta una corrida de botones delanteros y cuatro bolsillos por el frente.",,48,118,118,65,65,,,,,,,,,,1040,
VST-MLT-2021003-030,VST,MLT,2021003,030,usado,Vestido Rapunzel,Joyas Vintage,TRUE,TRUE,,XL,,,$45.000,"Impactante vestido vintage hecho a mano, como salido de un cuento de hadas. De falda tableada y mangas globo, con soñados botones delanteros brillantes como joyas. Confeccionado con suave algodón, su estampado es una alegoría a la primavera.",,45,116,108,43,115,,,,,,,,,,700,
VST-NGR-2021003-031,VST,NGR,2021003,031,usado,Vestido Blair,Joyas Vintage,TRUE,TRUE,36,S,Berwin & Wolff,86 algodón / 14 modal,$45.000,"Soñado vestido vintage de negro terciopelo de algodón. De corte tipo princesa, con falda tableada y mangas globo elasticadas. Impacta a la vista su larga línea de botones metálicos, como si bubieran sido hechos a mano. Para hacerlo aún más perfecto, tiene bolsillos.",,34,86,74,47,127,,,,,,,,,,905,